quantity;price;prod;n_day_sells;n_day_orders;day;month;year
28;4.0;salamella;131;54;Tuesday;9;2021
14;3.0;cotto_e_fontina;131;54;Tuesday;9;2021
2;3.0;vegetariano;131;54;Tuesday;9;2021
5;3.0;speck;131;54;Tuesday;9;2021
5;3.0;hot_dog;131;54;Tuesday;9;2021
6;2.0;patatine;131;54;Tuesday;9;2021
12;2.5;birra;131;54;Tuesday;9;2021
1;2.0;mozza;131;54;Tuesday;9;2021
10;2.5;piadine nutella;131;54;Tuesday;9;2021
36;1.0;patatine;131;54;Tuesday;9;2021
12;1.0;mozza;131;54;Tuesday;9;2021
35;4.0;salamella;116;46;Wednesday;9;2021
8;3.0;cotto_e_fontina;116;46;Wednesday;9;2021
3;3.0;vegetariano;116;46;Wednesday;9;2021
2;3.0;speck;116;46;Wednesday;9;2021
6;3.0;hot_dog;116;46;Wednesday;9;2021
13;2.0;patatine;116;46;Wednesday;9;2021
0;2.5;birra;116;46;Wednesday;9;2021
2;2.0;mozza;116;46;Wednesday;9;2021
2;2.5;piadine nutella;116;46;Wednesday;9;2021
39;1.0;patatine;116;46;Wednesday;9;2021
6;1.0;mozza;116;46;Wednesday;9;2021
53;4.0;salamella;187;61;Thursday;9;2021
7;3.0;cotto_e_fontina;187;61;Thursday;9;2021
5;3.0;vegetariano;187;61;Thursday;9;2021
11;3.0;speck;187;61;Thursday;9;2021
7;3.0;hot_dog;187;61;Thursday;9;2021
6;2.0;patatine;187;61;Thursday;9;2021
14;2.5;birra;187;61;Thursday;9;2021
1;2.0;mozza;187;61;Thursday;9;2021
13;2.5;piadine nutella;187;61;Thursday;9;2021
63;1.0;patatine;187;61;Thursday;9;2021
7;1.0;mozza;187;61;Thursday;9;2021
81;4.0;salamella;313;92;Friday;9;2021
10;3.0;cotto_e_fontina;313;92;Friday;9;2021
13;3.0;vegetariano;313;92;Friday;9;2021
8;3.0;speck;313;92;Friday;9;2021
19;3.0;hot_dog;313;92;Friday;9;2021
14;2.0;patatine;313;92;Friday;9;2021
37;2.5;birra;313;92;Friday;9;2021
7;2.0;mozza;313;92;Friday;9;2021
4;2.5;piadine nutella;313;92;Friday;9;2021
114;1.0;patatine;313;92;Friday;9;2021
6;1.0;mozza;313;92;Friday;9;2021
40;4.0;salamella;213;83;Tuesday;9;2022
37;3.5;speck;213;83;Tuesday;9;2022
22;3.5;hot_dog;213;83;Tuesday;9;2022
15;3.5;cotto_e_fontina;213;83;Tuesday;9;2022
0;3.5;vegetariano;213;83;Tuesday;9;2022
40;2.5;patatine;213;83;Tuesday;9;2022
16;1.5;patatine;213;83;Tuesday;9;2022
3;2.5;panzerotti;213;83;Tuesday;9;2022
5;2.5;mozza;213;83;Tuesday;9;2022
5;2.5;piadine nutella;213;83;Tuesday;9;2022
30;3.0;birra;213;83;Tuesday;9;2022
90;4.0;salamella;297;115;Wednesday;9;2022
17;3.5;speck;297;115;Wednesday;9;2022
11;3.5;hot_dog;297;115;Wednesday;9;2022
6;3.5;cotto_e_fontina;297;115;Wednesday;9;2022
7;3.5;vegetariano;297;115;Wednesday;9;2022
19;2.5;patatine;297;115;Wednesday;9;2022
72;1.5;patatine;297;115;Wednesday;9;2022
15;2.5;panzerotti;297;115;Wednesday;9;2022
8;2.5;mozza;297;115;Wednesday;9;2022
9;2.5;piadine nutella;297;115;Wednesday;9;2022
43;3.0;birra;297;115;Wednesday;9;2022
54;4.0;salamella;225;88;Thursday;9;2022
14;3.5;speck;225;88;Thursday;9;2022
15;3.5;hot_dog;225;88;Thursday;9;2022
7;3.5;cotto_e_fontina;225;88;Thursday;9;2022
3;3.5;vegetariano;225;88;Thursday;9;2022
18;2.5;patatine;225;88;Thursday;9;2022
44;1.5;patatine;225;88;Thursday;9;2022
18;2.5;panzerotti;225;88;Thursday;9;2022
13;2.5;mozza;225;88;Thursday;9;2022
10;2.5;piadine nutella;225;88;Thursday;9;2022
29;3.0;birra;225;88;Thursday;9;2022
125;4.0;salamella;554;213;Friday;9;2022
35;3.5;speck;554;213;Friday;9;2022
38;3.5;hot_dog;554;213;Friday;9;2022
10;3.5;cotto_e_fontina;554;213;Friday;9;2022
12;3.5;vegetariano;554;213;Friday;9;2022
35;2.5;patatine;554;213;Friday;9;2022
124;1.5;patatine;554;213;Friday;9;2022
34;2.5;panzerotti;554;213;Friday;9;2022
31;2.5;mozza;554;213;Friday;9;2022
15;2.5;piadine nutella;554;213;Friday;9;2022
95;3.0;birra;554;213;Friday;9;2022
15;4.5;salamella;92;54;Monday;9;2023
2;4.5;cotto_e_fontina;92;54;Monday;9;2023
2;3.5;speck_e_tomino;92;54;Monday;9;2023
1;3.5;speck_e_brie;92;54;Monday;9;2023
2;3.5;pancetta_e_scamorza;92;54;Monday;9;2023
1;3.5;hamburger_suino;92;54;Monday;9;2023
12;3.5;hot_dog;92;54;Monday;9;2023
3;3.5;vegetariano;92;54;Monday;9;2023
12;4.5;salamella;49;22;Tuesday;9;2023
3;4.5;cotto_e_fontina;49;22;Tuesday;9;2023
1;3.5;speck_e_tomino;49;22;Tuesday;9;2023
0;3.5;speck_e_brie;49;22;Tuesday;9;2023
7;3.5;pancetta_e_scamorza;49;22;Tuesday;9;2023
3;3.5;hamburger_suino;49;22;Tuesday;9;2023
0;3.5;hot_dog;49;22;Tuesday;9;2023
2;3.5;vegetariano;49;22;Tuesday;9;2023
53;4.5;salamella;302;132;Wednesday;9;2023
8;4.5;cotto_e_fontina;302;132;Wednesday;9;2023
14;3.5;speck_e_tomino;302;132;Wednesday;9;2023
3;3.5;speck_e_brie;302;132;Wednesday;9;2023
1;3.5;pancetta_e_scamorza;302;132;Wednesday;9;2023
17;3.5;hamburger_suino;302;132;Wednesday;9;2023
14;3.5;hot_dog;302;132;Wednesday;9;2023
3;3.5;vegetariano;302;132;Wednesday;9;2023
43;3.5;birra;302;132;Wednesday;9;2023
2;1.2;bibite;302;132;Wednesday;9;2023
53;4.5;salamella;265;94;Thursday;9;2023
8;4.5;cotto_e_fontina;265;94;Thursday;9;2023
14;3.5;speck_e_tomino;265;94;Thursday;9;2023
3;3.5;speck_e_brie;265;94;Thursday;9;2023
1;3.5;pancetta_e_scamorza;265;94;Thursday;9;2023
17;3.5;hamburger_suino;265;94;Thursday;9;2023
14;3.5;hot_dog;265;94;Thursday;9;2023
3;3.5;vegetariano;265;94;Thursday;9;2023
43;3.5;birra;265;94;Thursday;9;2023
2;1.2;bibite;265;94;Thursday;9;2023
50;4.5;salamella;263;98;Friday;9;2023
9;4.5;cotto_e_fontina;263;98;Friday;9;2023
4;3.5;speck_e_tomino;263;98;Friday;9;2023
1;3.5;speck_e_brie;263;98;Friday;9;2023
7;3.5;pancetta_e_scamorza;263;98;Friday;9;2023
19;3.5;hamburger_suino;263;98;Friday;9;2023
7;3.5;hot_dog;263;98;Friday;9;2023
4;3.5;vegetariano;263;98;Friday;9;2023
45;3.5;birra;263;98;Friday;9;2023
4;1.2;bibite;263;98;Friday;9;2023
30;2.5;patatine;92;54;Monday;9;2023
9;2.5;panzerotti;92;54;Monday;9;2023
2;2.5;anelli_cipolla;92;54;Monday;9;2023
11;2.5;piadine nutella;92;54;Monday;9;2023
2;2.5;nuggets;92;54;Monday;9;2023
0;2.5;verdure_grigliate;92;54;Monday;9;2023
15;2.5;patatine;49;22;Tuesday;9;2023
2;2.5;panzerotti;49;22;Tuesday;9;2023
1;2.5;anelli_cipolla;49;22;Tuesday;9;2023
3;2.5;piadine nutella;49;22;Tuesday;9;2023
0;2.5;nuggets;49;22;Tuesday;9;2023
0;2.5;verdure_grigliate;49;22;Tuesday;9;2023
100;2.5;patatine;302;132;Wednesday;9;2023
0;2.5;panzerotti;302;132;Wednesday;9;2023
11;2.5;anelli_cipolla;302;132;Wednesday;9;2023
15;2.5;piadine nutella;302;132;Wednesday;9;2023
16;2.5;nuggets;302;132;Wednesday;9;2023
2;2.5;verdure_grigliate;302;132;Wednesday;9;2023
67;2.5;patatine;265;94;Thursday;9;2023
11;2.5;panzerotti;265;94;Thursday;9;2023
8;2.5;anelli_cipolla;265;94;Thursday;9;2023
9;2.5;piadine nutella;265;94;Thursday;9;2023
12;2.5;nuggets;265;94;Thursday;9;2023
0;2.5;verdure_grigliate;265;94;Thursday;9;2023
67;2.5;patatine;263;98;Friday;9;2023
17;2.5;panzerotti;263;98;Friday;9;2023
13;2.5;anelli_cipolla;263;98;Friday;9;2023
9;2.5;piadine nutella;263;98;Friday;9;2023
4;2.5;nuggets;263;98;Friday;9;2023
3;2.5;verdure_grigliate;263;98;Friday;9;2023
1;2.5;anelli cipolla;101;57;Friday;6;2025
14;1.0;anguria;101;57;Friday;6;2025
11;2.5;churros;101;57;Friday;6;2025
2;4.0;cott font;101;57;Friday;6;2025
4;5.0;hamburger;101;57;Friday;6;2025
8;4.0;hot dog;101;57;Friday;6;2025
3;1.0;melone;101;57;Friday;6;2025
0;4.0;panc  scamorza;101;57;Friday;6;2025
2;2.5;panzerotti;101;57;Friday;6;2025
17;2.5;patatine;101;57;Friday;6;2025
4;2.5;pianda nutella;101;57;Friday;6;2025
9;4.5;salamella;101;57;Friday;6;2025
3;2.5;spritz analcolico;101;57;Friday;6;2025
1;4.0;vegetariano;101;57;Friday;6;2025
13;2.5;virgin mojito;101;57;Friday;6;2025
9;2.5;virgin pina colada;101;57;Friday;6;2025
4;1.0;acqua;68;18;Monday;9;2024
2;1.0;acqua;115;45;Tuesday;9;2024
0;1.0;acqua;129;36;Wednesday;9;2024
0;1.0;acqua;198;90;Thursday;9;2024
2;1.0;acqua;411;178;Friday;9;2024
7;1.0;acqua;360;125;Sunday;9;2024
0;2.5;anelli cip;68;18;Monday;9;2024
0;2.5;anelli cip;115;45;Tuesday;9;2024
1;2.5;anelli cip;129;36;Wednesday;9;2024
7;2.5;anelli cip;198;90;Thursday;9;2024
10;2.5;anelli cip;411;178;Friday;9;2024
7;2.5;anelli cip;360;125;Sunday;9;2024
2;1.5;bibite;68;18;Monday;9;2024
0;1.5;bibite;115;45;Tuesday;9;2024
1;1.5;bibite;129;36;Wednesday;9;2024
0;1.5;bibite;198;90;Thursday;9;2024
0;1.5;bibite;411;178;Friday;9;2024
21;1.5;bibite;360;125;Sunday;9;2024
1;4.0;birra;68;18;Monday;9;2024
15;4.0;birra;115;45;Tuesday;9;2024
14;4.0;birra;129;36;Wednesday;9;2024
9;4.0;birra;198;90;Thursday;9;2024
35;4.0;birra;411;178;Friday;9;2024
21;4.0;birra;360;125;Sunday;9;2024
6;4.0;cotto e fontina;68;18;Monday;9;2024
5;4.0;cotto e fontina;115;45;Tuesday;9;2024
4;4.0;cotto e fontina;129;36;Wednesday;9;2024
7;4.0;cotto e fontina;198;90;Thursday;9;2024
8;4.0;cotto e fontina;411;178;Friday;9;2024
4;4.0;cotto e fontina;360;125;Sunday;9;2024
0;6.0;double burger;68;18;Monday;9;2024
1;6.0;double burger;115;45;Tuesday;9;2024
4;6.0;double burger;129;36;Wednesday;9;2024
6;6.0;double burger;198;90;Thursday;9;2024
14;6.0;double burger;411;178;Friday;9;2024
10;6.0;double burger;360;125;Sunday;9;2024
7;5.0;hamburger;68;18;Monday;9;2024
6;5.0;hamburger;115;45;Tuesday;9;2024
7;5.0;hamburger;129;36;Wednesday;9;2024
20;5.0;hamburger;198;90;Thursday;9;2024
39;5.0;hamburger;411;178;Friday;9;2024
15;5.0;hamburger;360;125;Sunday;9;2024
1;4.0;hot dog;68;18;Monday;9;2024
5;4.0;hot dog;115;45;Tuesday;9;2024
5;4.0;hot dog;129;36;Wednesday;9;2024
7;4.0;hot dog;198;90;Thursday;9;2024
33;4.0;hot dog;411;178;Friday;9;2024
10;4.0;hot dog;360;125;Sunday;9;2024
1;4.0;panzerotti;68;18;Monday;9;2024
0;4.0;panzerotti;115;45;Tuesday;9;2024
6;4.0;panzerotti;129;36;Wednesday;9;2024
3;4.0;panzerotti;198;90;Thursday;9;2024
15;4.0;panzerotti;411;178;Friday;9;2024
5;4.0;panzerotti;360;125;Sunday;9;2024
2;2.5;panzerottini;68;18;Monday;9;2024
7;2.5;panzerottini;115;45;Tuesday;9;2024
11;2.5;panzerottini;129;36;Wednesday;9;2024
17;2.5;panzerottini;198;90;Thursday;9;2024
13;2.5;panzerottini;411;178;Friday;9;2024
16;2.5;panzerottini;360;125;Sunday;9;2024
25;2.5;pata;68;18;Monday;9;2024
37;2.5;pata;115;45;Tuesday;9;2024
39;2.5;pata;129;36;Wednesday;9;2024
60;2.5;pata;198;90;Thursday;9;2024
141;2.5;pata;411;178;Friday;9;2024
109;2.5;pata;360;125;Sunday;9;2024
2;2.5;piadine nutella;68;18;Monday;9;2024
5;2.5;piadine nutella;115;45;Tuesday;9;2024
5;2.5;piadine nutella;129;36;Wednesday;9;2024
8;2.5;piadine nutella;198;90;Thursday;9;2024
17;2.5;piadine nutella;411;178;Friday;9;2024
11;2.5;piadine nutella;360;125;Sunday;9;2024
10;4.0;salamella;68;18;Monday;9;2024
23;4.0;salamella;115;45;Tuesday;9;2024
26;4.0;salamella;129;36;Wednesday;9;2024
36;4.0;salamella;198;90;Thursday;9;2024
56;4.0;salamella;411;178;Friday;9;2024
67;4.0;salamella;360;125;Sunday;9;2024
2;4.0;speck e brie;68;18;Monday;9;2024
3;4.0;speck e brie;115;45;Tuesday;9;2024
3;4.0;speck e brie;129;36;Wednesday;9;2024
2;4.0;speck e brie;198;90;Thursday;9;2024
5;4.0;speck e brie;411;178;Friday;9;2024
9;4.0;speck e brie;360;125;Sunday;9;2024
0;3.0;spritz;68;18;Monday;9;2024
0;3.0;spritz;115;45;Tuesday;9;2024
0;3.0;spritz;129;36;Wednesday;9;2024
10;3.0;spritz;198;90;Thursday;9;2024
7;3.0;spritz;411;178;Friday;9;2024
27;3.0;spritz;360;125;Sunday;9;2024
3;4.0;tomino e speck;68;18;Monday;9;2024
5;4.0;tomino e speck;115;45;Tuesday;9;2024
1;4.0;tomino e speck;129;36;Wednesday;9;2024
5;4.0;tomino e speck;198;90;Thursday;9;2024
7;4.0;tomino e speck;411;178;Friday;9;2024
17;4.0;tomino e speck;360;125;Sunday;9;2024
2;4.0;vegeta;68;18;Monday;9;2024
1;4.0;vegeta;115;45;Tuesday;9;2024
2;4.0;vegeta;129;36;Wednesday;9;2024
0;4.0;vegeta;198;90;Thursday;9;2024
5;4.0;vegeta;411;178;Friday;9;2024
4;4.0;vegeta;360;125;Sunday;9;2024
0;2.5;verdure grigliate;68;18;Monday;9;2024
0;2.5;verdure grigliate;115;45;Tuesday;9;2024
0;2.5;verdure grigliate;129;36;Wednesday;9;2024
1;2.5;verdure grigliate;198;90;Thursday;9;2024
4;2.5;verdure grigliate;411;178;Friday;9;2024
0;2.5;verdure grigliate;360;125;Sunday;9;2024
